File:,"../Sarcasm/Sarcasm_train_set_4.csv"
TEXT,VALUE,PRED,CORRECT
"kids' adorable observations about the world may have been crucial to their survival",-1,-1,MATCH
"nation suddenly realizes it never had to worry about john mccain dying over past 8 years if he'd become president",1,1,MATCH
"what i never knew about motherhood",-1,-1,MATCH
"puerto rico is a man-made disaster",-1,-1,MATCH
"rockette says inauguration performance is 'an issue of racism and sexism'",-1,-1,MATCH
"roadmap to leaving your corporate job and starting a creative business: 1 year after launch (part 6 of 6)",-1,-1,MATCH
"mila kunis and kate mckinnon are the world's worst action heroes in new trailer",-1,-1,MATCH
"how fear of terrorism may put you at risk of long-term disease",-1,-1,MATCH
"a radical post-bernie cooperative multicultural immigrant manifesto",-1,-1,MATCH
"donald trump wouldn't have had the ready cash to self-finance entire campaign ─ analysis",-1,-1,MATCH
"kim jong un calls north korea sub missile launch 'greatest success'",-1,-1,MATCH
"senate's proposed 2016 budget turns a deaf ear to the needs of young families",-1,-1,MATCH
"93-year-old is killin' it on instagram with her modeling shots",-1,-1,MATCH
"spokeswoman gives birth to spokeschild",1,1,MATCH
"why america's public media can't do its job",-1,-1,MATCH
"uninsured man hopes his symptoms diagnosed this week on house",1,1,MATCH
"dobby the house-elf still brings generosity to the 'harry potter' universe and beyond",-1,-1,MATCH
"new miami-based tuna is cuban-safe",1,-1,FAIL
"7 everyday habits for glowing, younger-looking skin",-1,-1,MATCH
"in malala's hometown, a young activist advocates for girls' education",-1,-1,MATCH
"new yorker article unread in brooklyn, queens, bronx, staten island",1,-1,FAIL
"more equality and dinosaurs: people share how they'd change the world",-1,-1,MATCH
"man forced to reverse-engineer point in midst of meandering, absentminded rant",1,1,MATCH
"new teen trend 'walking wet and nude' couldn't have caught on at worse time",1,-1,FAIL
"is the stereotype that 'women can't be geniuses' causing gender gaps?",-1,-1,MATCH
"congress adds 'all your base are belong to us' amendment to bankruptcy bill",1,-1,FAIL
"attorney lisa bloom planned to discredit harvey weinstein's accusers: report",-1,-1,MATCH
"gus van sant prepares shot-for-shot teen wolf remake",1,1,MATCH
"spaced-out flower child groovin' on a doobie wave",1,-1,FAIL
"invisibility cloak may be moving closer to reality",-1,-1,MATCH
"chinese takeout restaurant thought it had seen man at his worst",1,1,MATCH
"bush's eyelid accidentally nailed to wall",1,1,MATCH
"personals ad omits goiter",1,1,MATCH
"supreme court told to take down tip jar",1,1,MATCH
"pizza hut's new 'hut swag' lets you wear your obsession on your sleeve",-1,-1,MATCH
"scientists discover perfect little out-of-the-way place",1,1,MATCH
"eu referendum in limbo as britain mourns lawmaker jo cox",-1,1,FAIL
"look: 'thor's helmet' glows in brilliant neon hues",-1,1,FAIL
"how smartphones damage our skin, according to dermatologists",-1,-1,MATCH
"reporter crashes the debate and causes some good, old-fashioned chaos",-1,-1,MATCH
"couple keeps marriage together for sake of no one",1,1,MATCH
"trump's problems aren't going away: despite conflicting testimony, americans will believe comey has told the truth",-1,-1,MATCH
"leadership: 'strong and wrong' over 'weak and right?'",-1,-1,MATCH
"flexibility will close the women's leadership gap",-1,-1,MATCH
"the unbelievably easy 2014 midterm election voters guide -- money in politics",-1,-1,MATCH
"man on date ready for question about siblings this time",1,1,MATCH
"watch: why mirrors flip things sideways but not upside down",-1,-1,MATCH
"albert pujols and the end to down syndrome bullying",-1,-1,MATCH
"5 entrepreneurial rules to live by",-1,-1,MATCH
"simple gifts--for the holidays (holy daze)   or  if we do not know your wishes, how can we follow them?",-1,-1,MATCH
"bride has to admit it'd be pretty exciting if someone objected at wedding",1,1,MATCH
"barack obama congratulates prince harry and meghan markle on engagement",-1,-1,MATCH
"trump: 'it's my honor to deliver the first-ever state of the union'",1,-1,FAIL
"reuters journalists charged in myanmar after reporting on rohingya crisis",-1,-1,MATCH
"old el paso introduces emergency taco kit",1,1,MATCH
"fashion-forward pigeon sports bread necklace in bold style choice",-1,1,FAIL
"a sikh american writes to donald trump",-1,-1,MATCH
"8 buttoned-up wedding looks that are anything but boring",-1,-1,MATCH
"cvs now selling cheaper, cvs-brand 'people' magazine",1,1,MATCH
"seaworld responds to california drought by draining animal tanks halfway",1,-1,FAIL
"watch britney spears dance in a bikini 'til the world ends",-1,-1,MATCH
"demi lovato and wilmer valderrama decide to give their hearts a break",-1,-1,MATCH
"how to cook eggs to reduce your risk of salmonella",-1,-1,MATCH
"trumpcare and the gop: legislating cruelty",-1,-1,MATCH
"control of anecdote wrested from boyfriend",1,1,MATCH
"is your job search too old-fashioned?",-1,-1,MATCH
"herculean effort, astronomical expense lead to photo of whole family at disney world",1,1,MATCH
"chris murphy: congress giving 'quiet endorsement' to murders",-1,1,FAIL
"let's try to talk about race",-1,1,FAIL
"when a river is a person: from ecuador to new zealand, nature gets its day in court",-1,-1,MATCH
"a presidency under siege",-1,-1,MATCH
"nation's conservationists warn there only 8 trillion rats left",1,1,MATCH
"republicans hold on to mick mulvaney's old house seat in south carolina",-1,-1,MATCH
"bunch of hick nobodies sue for toxic-waste exposure",1,1,MATCH
"the extraordinary ordinary life and death of elisabeth kübler-ross",-1,-1,MATCH
"geithner refuses to come down off capitol dome",1,1,MATCH
"jon snow has been battling white walkers while wearing an ikea rug",-1,-1,MATCH
"hbo film reveals liberace was good friends with gay men",1,1,MATCH
"real-life twist endings no one saw coming -- no one!",-1,-1,MATCH
"how to replace your self-doubt with unshakeable confidence",-1,-1,MATCH
"mountain west and plains best places to retire in u.s.",-1,-1,MATCH
"study finds no logical reason why planes fly",1,1,MATCH
"adopted child doe and amended birth certificates",-1,-1,MATCH
"kid honors grandpa's memory with solemn cannonball",1,1,MATCH
"napkinless man with grease-covered fingers realizes he trapped in a prison of his own creation",1,1,MATCH
"why dave chappelle won't be making jokes about rachel dolezal any time soon",-1,-1,MATCH
"jimmy kimmel hilariously rebrands hatchimals as 'disappointimals'",-1,1,FAIL
"mom holds knife to throat of dinner guest who offered to help with dishes",1,1,MATCH
"marco rubio wins puerto rico primary",-1,1,FAIL
"ruth bader ginsburg: abortion restrictions mostly hurt poor women",-1,1,FAIL
"katy perry shines bright like a diamond",-1,-1,MATCH
"u.s. service member dies following explosion in northern syria",-1,1,FAIL
"robin wright explains why she fought for equal pay for 'house of cards'",-1,-1,MATCH
"oscars attendees cower in awe as disembodied, all-knowing voice proclaims information about nominees",1,-1,FAIL
"jesse jackson: 'absolutely' no reason for officer to shoot",-1,1,FAIL
"warren buffett's son pledges $90 million to support girls and women of color",-1,-1,MATCH
"is allegiance to white supremacy greater than allegiance to god?",-1,-1,MATCH
"study finds owning cool leather jacket more rewarding than raising children",1,1,MATCH
"1 dead, 3 hurt in stabbing on ut austin campus",-1,-1,MATCH
"most recommended marketing tools by pro bloggers",-1,1,FAIL
"visa fires bob dole",1,1,MATCH
"the scream poster stolen from area dorm room",1,1,MATCH
"pharmaceutical industry profiting from a solution to a problem they helped create",-1,-1,MATCH
"botanist holding up entire salad bar",1,1,MATCH
"michaela watkins on the 'myth' surrounding female-driven shows",-1,-1,MATCH
"'meow-nisota' all ears for internet cat video festival",-1,-1,MATCH
"clinton gets full day's relief with one spray of flonase",1,1,MATCH
"several injured after 'unauthorized' vehicle enters nsa headquarters",-1,1,FAIL
"don't press the button: the problem with email and what to do about it",-1,-1,MATCH
"pence tells emotional story of longtime friend who was aborted after second trimester",1,1,MATCH
"trump struck by beautiful vision of what america could be while looking out over seething, screaming arizona crowd",1,-1,FAIL
"elizabeth taylor watches cleopatra alone in dark",1,1,MATCH
"wendy's wants consumers to know it's fine with gays, disapproves of interracial marriage",1,-1,FAIL
"what this dad realized when he patted himself on the back for 'helping'",-1,-1,MATCH
"man who didn't get joke acts like he did",1,1,MATCH
"5 reasons website traffic is the lifeblood of small business",-1,-1,MATCH
"report: dnc and clinton campaign funded research behind trump russia dossier",-1,-1,MATCH
"traffic courts are driving inequality in california",-1,-1,MATCH
"black eyed peas calls out america's racism in new video",-1,-1,MATCH
"that time mariel hemingway made out with all the women on 'snl'",-1,1,FAIL
"statues and place names continue to honor champions of slavery",-1,-1,MATCH
"hillary clinton: 'when i was a child, most special interest groups wouldn't even consider donating large sums of money to a woman'",1,-1,FAIL
"biden busted in dnc parking lot selling bootleg 'i'm with her' t-shirts",1,1,MATCH
"stephen colbert brings down the house with his explanation for trump's actions",-1,-1,MATCH
"these gif'd moments of 2016 show how the election took over pop culture",-1,-1,MATCH
"new yorkers cower as clinton victory speech reverberates across entire state",1,1,MATCH
"gop picks paul ryan for house speaker",-1,-1,MATCH
"how to be grateful (and stop acting like a frustrated toddler)",-1,-1,MATCH
"economists warn new graduates may have to tough it out for 5 to 6 weeks before landing dream job",1,1,MATCH
"hr sends out reminder email about not scrawling 'revenge' in blood in conference room",1,1,MATCH
"coworker obsessively checks e-mail every couple of minutes",1,1,MATCH
"royal baby already crawling",1,1,MATCH
"middle east crisis traced to trouble-making genie",1,1,MATCH
"making inequality the center of the 2016 debate",-1,-1,MATCH
"this is what's delaying 'big bang theory' season 8",-1,-1,MATCH
"man has adorable conversation with dozens of baby goats",-1,1,FAIL
"republican congressman: the best reason to vote for my opponent is he has a hot wife",-1,-1,MATCH
"ghost of brando urges man to finish whole cheesecake",1,1,MATCH
"kushner following trump's orders on secret link with russia, ex-cia official suggests",-1,-1,MATCH
"2018 is already off to a violent start",-1,-1,MATCH
"nation's dogs dangerously underpetted, say dogs",1,1,MATCH
"guy creates trump inauguration flyer we should all start passing out",-1,-1,MATCH
"multi-institutional collaborative clinical trial to examine health benefits of integrative lifestyle practices at the chopra center for wellbeing",-1,-1,MATCH
"why russell simmons wants trump to win the gop nomination",-1,-1,MATCH
"grandma jumps into buick for emergency birdseed run",1,1,MATCH
"man falls asleep at intersection. what cops say happens next is pure florida",-1,-1,MATCH
"jetblue is offering $49 flights in an awesome, 2-day flash sale",-1,-1,MATCH
"wedding strains relationship to breaking point",1,1,MATCH
"apple recalls thousands of earbuds that unexpectedly bloomed",1,1,MATCH
"man misses simple pleasure of going to movie store, browsing for something, being told it's out, driving home",1,1,MATCH
"distrust and verify: an appropriate u.s. government response to sudan government actions",-1,-1,MATCH
"donut shop's mission statement awfully ambitious",1,1,MATCH
"obama encourages staff to 'stay on offense' in final year",-1,-1,MATCH
"republicans, north korea considering nuclear option",-1,-1,MATCH
"jason statham beats wedding planner to death in new romantic comedy",1,1,MATCH
"teen sick of mother barging into room with clean, folded clothes",1,1,MATCH
"10 things i learned as a new adjunct teacher",-1,-1,MATCH
"give the gift of play this holiday season",-1,-1,MATCH
"confusing insult awkwardly clarified",1,1,MATCH
"caring for every preemie, every day",-1,-1,MATCH
"new yorker accused of hate crime in attack on asian man while yelling 'white power'",-1,-1,MATCH
"time for a brand new site for israel-palestine peace talks",-1,-1,MATCH
"uganda's president extends 30-year rule, detains rivals after election",-1,-1,MATCH
"some stupid thing making the rounds among your facebook friends today",1,-1,FAIL
"nation's still-undecided voters: 'help, we can't get our car seatbelts off'",1,1,MATCH
"the fascinating origin of the word 'jumbo'",-1,-1,MATCH
"watch this guy's chin perfectly perform ed sheeran's 'thinking out loud'",-1,-1,MATCH
"syrian refugees are among the obamas' state of the union guests",-1,-1,MATCH
"a review of 'jim wallis: in conversation'",-1,-1,MATCH
"watch: fox news guest blames mass shooting on 'homosexual impulses'",-1,-1,MATCH
"historical archives: a jest for you",1,-1,FAIL
"u.n. peacekeepers pulled from bosnia to mow ted turner's lawn",1,1,MATCH
"general mills releases new lucky charms with 15 percent less leprechaun meat",1,1,MATCH
"obama currently being chased in background of secret service hearing",1,1,MATCH
"ice cube thrown into sink flies up side like skateboarder shredding half-pipe",1,1,MATCH
"russia seeks economic revenge against turkey over jet",-1,-1,MATCH
"did climate change spawn all these hurricanes? here's why it's hard to say.",-1,-1,MATCH
"study reveals majority of suicides occur while trying to put fitted sheet on bed",1,1,MATCH
"outrage erupts over report that mark wahlberg made over 1,000 times more than michelle williams",-1,-1,MATCH
"nelly reiterates sex-liking stance",1,1,MATCH
"billy eichner gives us a thanksgiving parade for people who don't have kids",-1,-1,MATCH
"hot-dog craving ends after first bite",1,-1,FAIL
"groom admits bride could have looked a bit more radiant on wedding day",1,-1,FAIL
"compliment suspiciously vague",1,1,MATCH
"brad pitt stumbles across old cardboard box with gwyneth paltrow's head in attic",1,1,MATCH
"the fda should even the score for women's sexual health",-1,-1,MATCH
"point of story apparently that man ate at restaurant",1,1,MATCH
"huffpollster: republican women really don't like trump",-1,-1,MATCH
"laptop gets to age when it can be lightly tossed sometimes",1,1,MATCH
"report: iran's supreme leader sent obama a secret letter",-1,1,FAIL
"leather-jacketed congressman makes up his own rules",1,-1,FAIL
"peter thiel wants to buy gawker, new court filing suggests",-1,1,FAIL
"how to find 'secret' discounted airfare",-1,-1,MATCH
"zuckerberg wishes old people would stop commenting on facebook",1,1,MATCH
"'the world is emptier now': celebrity fans and friends pay tribute to david bowie",-1,-1,MATCH
"chinese citizens observe 25-year moment of silence for tiananmen square massacre",1,1,MATCH
"leonardo dicaprio hangs with elephant posse to help save endangered species",-1,-1,MATCH
"death and mourning on the easter holiday",-1,-1,MATCH
"afro-disney plans scrapped",1,1,MATCH
"'the shining' is now 'the chickening,' so be afraid and chicken",-1,-1,MATCH
"area woman can't bring herself to pardon store's appearance",1,1,MATCH
"pope francis has a very clear message for 'christians' who build walls",-1,-1,MATCH
"trump lawsuit over white house book 'nonstarter,' legal experts say",-1,-1,MATCH
"dame judi dench learning to spit lyrics will make you love her even more",-1,-1,MATCH
"'harry potter' actor dave legeno dead after hiking in death valley",-1,-1,MATCH
"one on one: lily cole on the gift economy",-1,-1,MATCH
"pitt, aniston to quietly separate",1,1,MATCH
"area man has sex with man to get out of office blood drive",1,1,MATCH
"when being beautiful might count against you",-1,-1,MATCH
"how we do it: success in the classroom",-1,-1,MATCH
"'p is for p*ssy' is the alphabet book of your wet dreams",-1,-1,MATCH
"gop leaders say they're not giving up on repeal vote this week",-1,-1,MATCH
"this notre dame football walk-on was just surprised with scholarship",-1,-1,MATCH
"and the top markets for renting to millennials are...",-1,-1,MATCH
"tweeters freak out over donald trump's appointment of 'warmonger' john bolton",-1,-1,MATCH
"trump dished out fake news awards. twitter dished them right back at him.",-1,-1,MATCH
"rockin' party dude strongly recommends additional drinking",1,1,MATCH
"dubious inclusions damage credibility of entire record collection",1,1,MATCH
"from 1937 to hillary clinton, how americans have felt about a woman president",-1,-1,MATCH
"450-pound man didn't go to doctor for a lecture",1,-1,FAIL
"a magical island: making the most of your novel's setting",-1,-1,MATCH
"deadly california wildfire near big sur set to explode in size",-1,-1,MATCH
"area woman quietly satisfied to have concrete evidence backing up years-long hatred of matt lauer",1,1,MATCH
"carlos rosario school educates and graduates the new americans",-1,-1,MATCH
"all the ways the 'empire' finale set up season 2",-1,-1,MATCH
"environmental leaders cautious, yet hopeful despite trump's big win",-1,-1,MATCH
"pitbull's tasteless memorial day tweet brings americans together",-1,1,FAIL
"trump claims star of david picture isn't anti-semitic",-1,-1,MATCH
"iconic '90s band helped this couple open up about their sexuality",-1,-1,MATCH
"james gunn debunks 'guardians of the galaxy' paternity rumors",-1,-1,MATCH
"over-hydrated terrier proud owner of six city blocks",1,1,MATCH
"these 14 mannequin challenges will get you through election day anxiety",-1,-1,MATCH
"child who just wanted clothes spares uncle's feelings by pretending to like xbox",1,1,MATCH
"gluten-free mania -- if you're following the fad, you're a marketer's dream and part of the confusion",-1,-1,MATCH
"alabama forced to release thousands of sex offenders after inmates deny charges",1,1,MATCH
"man says he salutes a donald trump cardboard cutout every day",-1,-1,MATCH
"lessons for mom from the tee-ball dugout",-1,-1,MATCH
"mom tries to nap with baby. baby has other plans.",-1,1,FAIL
"what's next for the chicago bulls?",-1,-1,MATCH
"the real reason trump can't break the gop",-1,-1,MATCH
"can a french friar end the 21st-century slave trade?",-1,-1,MATCH
"germs depicted with menacing little faces",1,1,MATCH
"concerned parents demand removal of arsenic from periodic table of elements",1,1,MATCH
"greenpeace decides northern spotted owl 'not worth the trouble anymore'",1,-1,FAIL
"did trump collude with russia or obstruct justice? probably both",-1,-1,MATCH
"man running toward departing train must have finally realized he loves her",1,1,MATCH
"congress relieved to admit it's not going to accomplish anything this year",1,1,MATCH
"why do weddings cost so much?",-1,-1,MATCH
"only time employee has ever done job is when training replacement",1,1,MATCH
"paris terror harms france, islam, and the world",-1,-1,MATCH
"u.s. military defends controversial decision to test kilauea volcano on hawaiian civilians",1,1,MATCH
"who needs the apple watch? this startup is building straps that make any regular watch 'smart'",-1,-1,MATCH
"florida woman crashes wedding, and it doesn't end well",-1,-1,MATCH
"shameless coworker doing nothing to conceal clearly flaccid penis lying beneath khakis",1,1,MATCH
"find your rudder",-1,-1,MATCH
"'old milwaukee book of world records' confirms title for most punches to shoulder",1,1,MATCH
"mom keeps sending newspaper clippings about former classmates who have been murdered",1,-1,FAIL
"milo yiannopoulos speech at berkeley canceled amid violent protests",-1,1,FAIL
"can the american idol 2  winner end kelly clarkson's pop-chart dominance?",1,-1,FAIL
"puerto ricans without power for month can only assume this leading story across national news media",1,-1,FAIL
"perfect response to heckler somewhere in prop comedian's trunk",1,1,MATCH
"scholarship funds for alison parker, adam ward honor slain journalists",-1,1,FAIL
"kinda creepy peter pan pranks disney world",-1,1,FAIL
"son of edward r. murrow says father 'real dirtbag' compared to onion reporters",1,1,MATCH
"woman stops alleged bank robber by crashing into him",-1,1,FAIL
"gay men are caught between happiness and social norms in this short film",-1,-1,MATCH
"who got next: creating pipelines for girls of color to be on the ballot",-1,-1,MATCH
"report: states quietly raising speed limits near failing schools",1,1,MATCH
"man sentenced to 3 months probation for 17th-degree murder",1,1,MATCH
"don king enjoys grandilomentitudinous sandwich",1,1,MATCH
"rumsfeld sick of jokes about his fat girlfriend",1,-1,FAIL
"weather channel destroys breitbart over bs climate change story",-1,-1,MATCH
"wife unfazed by husband's sad e-mails to other women",1,1,MATCH
"ryan reynolds warns deadpool fans: 'don't say a f**king word'",-1,-1,MATCH
"out-of-control angel kills dozens of bystanders at vatican air show",1,1,MATCH
"lin-manuel miranda's childhood letters are way too real for people who hated summer camp",-1,-1,MATCH
"justice breyer unable to look at anything without deliberating constitutionality of it",1,1,MATCH
"congress continues debate over whether or not nation should be economically ruined",1,-1,FAIL
"emotional intelligence can boost your career and save your life",-1,-1,MATCH
"fighting rages in aleppo as syrian rebels claim to break through siege",-1,1,FAIL
"unsurprisingly, celebrities were not impressed with donald trump's press conference",-1,-1,MATCH
"the case for holistic education in the wake of charlottesville violence",-1,-1,MATCH
"woman been thinking about getting bangs for past 8 years",1,1,MATCH
"how i learned to get naked with strangers again after my mastectomy",-1,-1,MATCH
"frocked podium boys shine in pre-state-of-the-union rituals",1,1,MATCH
"wonder woman save us all",-1,-1,MATCH
"tv reporter's water breaks right at this moment during newscast",-1,1,FAIL
"north korea executes vice premier for not sitting up straight, south korea says",-1,-1,MATCH
"therapist feels bad for dating patient's daughter",1,1,MATCH
"'i am penguin, hear me squeak!' a bird speaks out from inside seaworld's 'antarctica'",-1,-1,MATCH
"from an adopted daughter, what my moms taught me about parenting",-1,-1,MATCH
"narrow gaps in bathroom stall doors to be widened monday",1,1,MATCH
"report: ocean levels could rise foot or more if lots of people go swimming",1,1,MATCH
"monkey robs jewelry store and we go bananas (video)",-1,-1,MATCH
"obama to meet with families of san bernardino shooting victims",-1,-1,MATCH
"12 hilarious truths of raising kids",-1,-1,MATCH
"mercedes ruehl reference lost on all but mercedes ruehl",1,-1,FAIL
"all-dad blues band a critical disappointment",1,-1,FAIL
"nobody knows what will happen if donald trump doesn't win a delegate majority",-1,-1,MATCH
"12 reasons to watch the puppy bowl instead of the super bowl",-1,-1,MATCH
"u.s. capitol cleaning turns up long-lost constitution",1,1,MATCH
"charlton heston's gun taken from his cold, dead hands",1,-1,FAIL
"obama and democrats set a trap for trump after baton rouge",-1,-1,MATCH
"report: employees most innovative when brainstorming dramatic quitting scenarios",1,1,MATCH
"katy perry says she'd collaborate with taylor swift under this one simple condition",-1,-1,MATCH
"man wishes live nation would email him whenever any band playing anywhere",1,1,MATCH
"these workers can only spend 6 minutes in the bathroom each day",-1,-1,MATCH
"10 things to expect when you have cancer",-1,-1,MATCH
"the real reason silicon valley is the world's most elusive tourist attraction",-1,-1,MATCH
"20 must have fashion items for every college girls wardrobe",-1,-1,MATCH
"london mayor sadiq khan to be joined by huffpost editor-in-chief lydia polgreen at sxsw 2018",-1,1,FAIL
"iowa restaurant patron can remember every breakfast ruined by presidential candidates",1,1,MATCH
"biologists discover billions of missing bees living anonymously in sacramento",1,1,MATCH
"'i'm sorry i didn't finish the job'",-1,-1,MATCH
"how to get your engagement ring properly insured",-1,-1,MATCH
"mccain gives up jcpenney catalog-modeling job",1,1,MATCH
"girl, 4, killed during apparent road rage attack",-1,-1,MATCH
"court rules meryl streep unable to be tried by jury as she has no peers",1,1,MATCH
"depleted hawaiian volcano now just coughing up bile",1,1,MATCH
"need for more places to sit becomes election's most important issue",1,1,MATCH
"jake tapper grills gop senator: 'you gave me and anderson cooper a huge tax break'",-1,-1,MATCH
"god wondering whatever happened to that planet where he made all those monkeys",1,1,MATCH
"how the uk is strengthening interfaith bonds after paris attacks",-1,-1,MATCH
"being transgender in north carolina: reaction to hb2",-1,1,FAIL
"to vaccinate or not to vaccinate: why is that even a question?",-1,-1,MATCH
"james comey's book pre-sold almost 200,000 copies, source says",-1,-1,MATCH
"man allegedly vandalizes own truck, blames 'black lives matter'",-1,1,FAIL
"sure, area man can watch your cat while his life is falling apart",1,1,MATCH
"hands-free tech like siri can be dangerous for drivers, study says",-1,-1,MATCH
"shaun white called out by accuser's lawyer for minimizing sexual harassment",-1,1,FAIL
"in-person visits with jailed parents are a child's right",-1,-1,MATCH
"hail mary! broncos fan sacked by security guard on christmas",-1,1,FAIL
"here's your first look at 'fear the walking dead'",-1,-1,MATCH
"i'm bi. it took me 21 years to come out of the closet and say it.",-1,-1,MATCH
"5 must-try international takes on macaroni & cheese",-1,-1,MATCH
"superhero never around when mild-mannered journalist david brooks is",1,-1,FAIL
"[in&out korea] anonymous interview on misogyny pt. 1",-1,1,FAIL
"assad linked to syrian chemical attacks for first time",-1,1,FAIL
"iran protests: civil rights movement or revolution?",-1,-1,MATCH
"man excited to look like different type of idiot in front of coworkers at bar",1,1,MATCH
"scuba diver expressing either joy or terror",1,-1,FAIL
"investors stake out greenspan's house for signs of rate increase",1,1,MATCH
"norma at san francisco opera",-1,1,FAIL
"the sometimes-gross, non-sexual intimacy of female friendships",-1,-1,MATCH
"battleship awkwardly propped up against ferguson police department",1,-1,FAIL
"iraqi forces open fire on protesters storming green zone",-1,1,FAIL
"martin luther king bust first thing to go, romney adviser quietly thinking",1,1,MATCH
"here's the 'gilmore girls' revival teaser and release date",-1,-1,MATCH
"kinky lawn chair likes leaving woman with marks all over her legs",1,-1,FAIL
"asshole moves to part of city where all the assholes live",1,-1,FAIL
"census study finds thousands of undocumented immigrants living inside u.s. border wall",1,1,MATCH
"woman assures you she's not mad",1,1,MATCH
"thank you, america",-1,1,FAIL
"ulta releases line of shitty hair ties to give cheap-ass friend who's always borrowing them",1,1,MATCH
"obama loses key potential republican ally on guantanamo bay closure",-1,1,FAIL
"icymi: who faces more sexism, female politicians or lab rats?",-1,-1,MATCH
"beefy little boy on boogie board misses fourth wave in a row",1,-1,FAIL
"senate intelligence committee confirms from testimony that donald trump jr. has no knowledge",1,-1,FAIL
"parenting: the ultimate juggling act",-1,-1,MATCH
"gop lawmaker, already punished for claiming parents' money as his own, does it again",-1,-1,MATCH
"'not racist' guy says honoring mlk will make him show 'racist ways'",-1,-1,MATCH
"pfizer mercifully puts down another batch of trial patients",1,1,MATCH
"claire danes fantasized about",1,1,MATCH
"woman probably just made up rape story in order to get threatening emails",1,1,MATCH
"one little girl beat the deadliest form of tuberculosis. she is very lucky.",-1,-1,MATCH
"canoe found after hurricane irma eyed as piece of florida history",-1,1,FAIL
"deadly suicide blast hits afghan capital",-1,1,FAIL
"obama in hiroshima: a visit to honor, not apologize",-1,-1,MATCH
"leonardo dicaprio morphs back into hairy, overweight iowan after finally receiving oscar",1,1,MATCH
"two conferences spotlight the muslim world's struggle to counter militancy",-1,-1,MATCH
"depressed businessman takes 16 power naps a day",1,-1,FAIL
"pro-choice gop senators keep voting for trump's anti-abortion judges",-1,-1,MATCH
"study: human hearing most acute when listening to arguing parents from top of stairs",1,1,MATCH
"beanie broker urges storkholders to sell",1,1,MATCH
"the rich get richer",-1,-1,MATCH
"cheney urged not to work blue during convention",1,1,MATCH
"bill and melinda scoggins foundation pledges $58 for charity",1,-1,FAIL
"mcdonald's birthday party to be happiest time in child's life",1,1,MATCH
